,name,adress,website,phone
359,To Hell and Back,"7798 Big Walnut WalnutWesterville, OH 43082",http://www.findahaunt.com/boo/?s=http://www.tohellandbackohio.com/,['614-620-1157']
360,Haunted Hills Hayride & Valley of Darkness Haunted Walking Trail,"500 Mosside BlvdNorth Versailles, PA 15137",cannot find,['724-382-8296']
361,Regal Vineyards Haunted Winery & Corn Maze,"2678 Countyline Rd. MadisonMadison, OH 44057",http://www.findahaunt.com/boo/?s=http://www.regalvineyards.com/,['440-298-9838']
362,Allen's Haunted Hayride & Tavern of Terror,"2430 Pittsburgh RdSmock, PA 15480",http://www.findahaunt.com/boo/?s=http://www.allenshayrides.com/,['724-677-2589']
363,Haunted History Hayride at Bushy Run Battlefield,"1253 Bushy Run RoadJeannette, PA 15644",https://bushyrunbattlefield.com/news-events/,['724-527-5584']
364,Cedar Point HalloWeekends,"1 Cedarpoint DriveSandusky, OH 44870",https://www.cedarpoint.com/halloweekends,[]
365,Hobgoblin Hikes,"194 Donohoe RoadGreensburg, PA 15601",https://www.co.westmoreland.pa.us/756/Hobgoblin-Hikes,['724-830-3959']
366,House of Horrors and Haunted Catacombs,"3757 Union RoadCheektowaga, NY 14225",http://www.findahaunt.com/boo/?s=http://www.houseofhorrorsbuffalo.com,[]
367,Jack's Revenge!  The Haunting of Rolling  Hills Asylum ,"11001 Bethany Center RoadEast Bethany, NY 14054",https://www.HauntingofRHA.com/,['585-502-4066']
368,Bowmansville Fire Haunted Hayride ,"36 Main St, Bowmansville, NY 14026, USABowmansville, NY 14026",https://www.bvfa.com/,[]
369,Lancaster Haunted Garage,"496 Pleasant View DriveLancaster, NY 14086",https://www.lancasterhauntedgarage.com/,[]
370,Haunted Hayride at Wheatfield Pumpkin Farm,"6920 Nash RdWheatfield, NY 14120",http://www.findahaunt.com/boo/?s=http://wheatfieldpumpkinfarm.com/,['718-693-6407']
371,Creepy Caledonia,"151 Caithness StreetCaledonia, ON N3W1C",http://www.findahaunt.com/boo/?s=http://www.creepycaledonia.org/,[]
372,The Haunted Frontier House,"460 Center StreetLewiston, NY 14092",cannot find,['716-545-7074']
373,Andover Haunted House,"5 W Greenwood StAndover, NY 14806",https://www.hauntedandover.com/,['607-661-6784']
374,Hilltop Hauntings,"7818 Marvin Hill RoadSpringwater, NY 14560",https://holidayhillcampground.com/,['585-669-2600']
375,Wood Creek Hollow Haunted Nights ,"3851 Wood Creek RoadRome, NY 13440",https://woodcreekhollow.com/,['315-271-9478']
376,Will's Cackleberry Castle Pumpkin Farm,"1175 Hillsboro RoadCamden, NY 13316",http://www.findahaunt.com/boo/?s=http://www.cackleberrycastle.com/,['315-245-0104']
377,The Haunted Forest,"95 Nichols RdWilliamstown, NY 13493",http://www.findahaunt.com/boo/?s=http://thehauntedforestcny.com,['315-436-2271']
378,CMC Haunted House,"6092 Route 31Cicero, NY 13039",https://www.cmchaunts.com/,['315-699-2355']
379,Third Alarm Paintball,"3227 Zelsnack RdMarathon, NY 13803",https://www.thirdalarmpaintball.com/,['607-745-4410']
380,The Last Ride Haunted Hayride,"291 Johnson RdParish, NY 13131",http://www.findahaunt.com/boo/?s=http://thelastridepalermo.com/,[]
381,Frightmare Farms,"4816 State Route 49Fulton, NY 13069",http://www.findahaunt.com/boo/?s=http://www.frightmarefarms.net/,['315-882-2487']
382,13th Hour Rising Haunted Hayride,"84 Merrit Road Fulton, NY 13069",https://13thhourrising.com/,['315-678-2046']
383,Behling Orchards Zombie Paint Ball,"114 Potter RdMexico, NY 13114",https://behlingorchards.com/,['315-963-7068']
384,Demon Acres Haunted House & Hayride,"341 County Route 36Hannibal, NY 13074",http://www.findahaunt.com/boo/?s=http://www.demonacres.com/,['315-564-8070']
385,Penny's Country Farm,"1540 Gray RoadUnion Springs, NY 13160",https://pennyscountryfarm.com/,['315-237-2815']
386,Terror Field Productions presents Stabbin' Cabin,"7 Columbia StClyde, NY 14433",http://www.findahaunt.com/boo/?s=http://www.terrorfield.com/,['000-000-0000']
387,Ghost Walks at Museum Of Wayne County History,"21 Butternut StreetLyons, NY 14489",http://www.findahaunt.com/boo/?s=http://www.waynehistory.org/Home.html,['315-946-4943']
388,Haunted Jail and Cellblock Terror,"21 Butternut StreetLyons, NY 14489",http://www.findahaunt.com/boo/?s=http://www.waynehistory.org/Exhibits_%26_Events.html,['315-946-4943']
389,Phelps Haunted House,"15 Church stPhelps, NY 14532",cannot find,[]
390,The Apple Shed,"3391 Fairville Maple Ridge RdNewark, NY 14513",https://www.theappleshed.com/,['315-331-6294']
391,Haunted Hayrides of Greater Rochester,"3329 Eddy RoadWilliamson, NY 14589",https://hauntedhayridesrochester.radio.com/,['585-423-2991']
392,VerHulst Haunted Hayride,"5161 Ridge Rd. WestSpencerport, NY 14559",http://www.findahaunt.com/boo/?s=http://www.verhulsthalloweenhayride.com/,['585-352-8484']
393,Phantom PhrightNights at Bradley Farms,"1543 Maple AveElmira, NY 14904",http://www.findahaunt.com/boo/?s=http://www.phantomphrightnights.com/,['607-732-0561']
394,Scream Fest,"1658 Lake RoadHamlin, NY 14464",http://www.findahaunt.com/boo/?s=http://hamlinrecreation.org,['585-964-7222']
395,The Haunted Walk,"30 Yonge St,Toronto, ON MfE1X",http://www.findahaunt.com/boo/?s=http://www.hauntedwalk.com/,['416-238-1473']
396,Screemers Hamilton,"180 Princes' BlvdToronto, ON M6K3C",http://www.findahaunt.com/boo/?s=http://www.screemers.ca,[]
397,Murarik Motorsports Annual Haunted House,"1410 E Presqueisle STPhilipsburg, PA 16866",https://www.facebook.com/mmshauntedhouse,['814-342-3773']
398,Tri-County ATV Haunted Rides,"632 Tower Hill RoadHeilwood, PA 15745",http://www.findahaunt.com/boo/?s=http://www.tricountyatv.com/,['877-931-2288']
399,Lonesome Valley of Terror,"180 Fairgrounds RoadGreensburg, PA 15601",https://www.lonesomevalleyfarms.com/,['724-423-4290']
400,Haunted Hollow,"126 Woodland RoadRockwood, PA 15557",https://hauntedhollow.net/,['814-926-3133']
401,Scary Harry,"1703 Pierce RdHomer City, PA 15748",http://www.findahaunt.com/boo/?s=http://www.scaryharrys.com/,['724-840-2976']
402,The Haunted Acres,"207 Mindish RoadSidman, PA 15955",https://www.thehauntedacres.com/,['814-619-8903']
403,Haunted Fright Fest,"16187 Dunnings HighwayNewry, PA 16665",http://www.findahaunt.com/boo/?s=http://www.hauntedfrightfest.com/,[]
404,ZombieTown USA,"1401 11th AvenueAltoona, PA 16601",https://zombietownusa.com/,['814-942-3929']
405,The Asylum Presents Hospital of Horrors,"71 Asylum DriveWeston, WV 26452",http://www.findahaunt.com/boo/?s=http://www.theasylumwv.com/,['304-269-5070']
406,The House of the Setting Sun and the Haunted Barn,"1313 Screamin' Hollow RoadGreen Spring, WV 26722",http://www.findahaunt.com/boo/?s=http://www.houseofthesettingsun.com/,['301-338-4102']
407,Corn Maze at Bridgemont Farm,"600 Wissler RdQuicksburg, VA 22847",http://www.findahaunt.com/boo/?s=http://getlostinthecorn.com/,['540-477-4200']
408,Haunted Woods of Hoover Ridge,"158 Primary School DriveMadison, VA 22727",http://www.findahaunt.com/boo/?s=http://www.hooverridge.com/haunted-woods.html,['540-308-1247']
409,Fright Trail,"5305 Cameron StreetLafayette, LA 70506",https://frighttrail.com/,['337-849-2012']
410,The 13th Gate,"832 Saint Phillip StreetBaton Rouge, LA 70802",http://www.findahaunt.com/boo/?s=http://www.13thGate.com,['318-709-1223']
411,RISE Haunted House,"10342 Hwy 442Tickfaw, LA 70454",http://www.findahaunt.com/boo/?s=http://risehauntedhouse.com,['985-277-9666']
412,Ranch of Horror ,"15587 W. Club Deluxe Rd. Hammond, LA 70403",https://ranchofhorror.com/new-2018-louisiana-location/,['985-687-3899']
413,Dark Woods Haunted Attraction,"4343 University ParkwayNatchitoches, LA 71457",http://www.findahaunt.com/boo/?s=http://www.darkwoodshaunt.com,['318-289-9019']
414,Lakeview Park Halloween Festival,"1717 Veterans Memorial HwyEunice, LA 70535",https://www.lvpark.com/,['337-457-2881']
415,The Lost Hollows,"3401 Derek DriveLake Charles, LA 70607",https://thelosthollows.com/,['337-415-9159']
416,Tree Farm Massacre,"458 Tree Farm RdLeesville, LA 71446",https://www.treefarmmassacre.com/,['337-378-8726']
417,Haunted Hill Haunted Trail and Hayride,"10400 Edenton RoadPartlow, VA 22534",https://www.thehauntedhill.com/,['540-845-1347']
418,Terror on the Farm,"12607 Old Ridge RoadBeaverdam, VA 23015",https://www.ashlandberryfarm.com/terror-on-the-farm,['804-227-3601']
419,Fun on the Farm at Hanover Vegetable Farm,"13580 Ashland RoadAshland, VA 23005",https://www.hanovervegetablefarm.com/,['804-752-2334']
420,Creepy Hollow Scream Park,"14437 Stone Horse Creek RoadGlen Allen, VA 23059",http://www.findahaunt.com/boo/?s=http://www.richmondscreams.com,[]
421,Church Hill Chillers,"2300 East Broad StreetRichmond, VA 23218",https://www.hauntsofrichmond.com/tours.htm,['866-782-2661']
422,The Pumpkin Patch at Gallmeyer Farm,"4506 Millers LaneRichmond, VA 23231",http://www.findahaunt.com/boo/?s=http://gallmeyerfarms.com/the-pumpkin-patch/,[]
423,Haunted Capitol Hill,"1200 East Cary StreetRichmond, VA 23218",https://www.hauntsofrichmond.com/,['866-782-2661']
424,Eerie Nights Ghost Tours,"100 N 17th StreetRichmond, VA 23219",https://www.eerienights.com/,['804-833-1845']
425,Ghouls Ghost Tour,"100 N 17th StreetRichmond, VA 23219",https://www.eerienights.com/,['804-833-1845']
426,Shadows of Shockoe,"1914 East Main StreetRichmond, VA 23218",https://www.hauntsofrichmond.com/,['866-782-2661']
427,Madame Redrum's ,"717 Rockfish RdWaynesboro, VA 22980",http://www.findahaunt.com/boo/?s=http://madameredrums.com/,[]
428,The Haunting at Chuckatuck,"5881 Godwin BlvdSuffolk, VA 23432",https://suffolkpubliclibrary.libcal.com/event/4350366,['757-514-7310']
429,WILSONS HAUNTED YARD,"628 SIRINE RDVirginia Beach, VA 23462",cannot find,[]
430,Spooky Acres Haunted House,"2850 Airline Blvd Portsmouth, VA 23502",http://www.findahaunt.com/boo/?s=http://www.spookyacres.com/,['757-588-2841']
431,Terror Woods,"900 North Battlefield Blvd Chesapeake, VA 23320",http://www.findahaunt.com/boo/?s=http://greatbridgepumpkinpatch.com/,['757-971-3413']
432,Hunt Club Farm's Halloween Festival,"2388 London Bridge RdVirginia Beach, VA 23456",http://www.findahaunt.com/boo/?s=http://hauntedhuntclubfarm.com/,['757-427-9520']
433,A Haunting at Greenbrier Farms,"225 Sign Pine RoadChesapeake, VA 23322",https://www.seeyouonthefarm.com/,['757-421-2141']
434,Mooooody Haunted House,"6209 Bemiss Rd.Valdosta, GA 31605",cannot find,['229-630-0289']
435,Terror in the Wild,"3766 Old Clyattville RoadValdosta, GA 31601",https://www.wildadventures.com/Plan-Your-Visit/Special-Events/Terror-in-the-Wild,['229-219-7080']
436,Lake Joy Trails of Terror,"428 Lake Joy RoadKathleen, GA 31047",http://www.findahaunt.com/boo/?s=http://www.lakejoytrailsofterror.com,['478-338-4062']
437,Nightmare On Church Street,"9041 Church StKeysville, VA 23947",cannot find,[]
438,The Haunted Fork,"124 Fork roadTyner, NC 27980",cannot find,['252-312-5796']
439,The Basement: Contagion,"201 West Main StreetAhoskie, NC 27910",http://www.findahaunt.com/boo/?s=http://thebasementhaunt.grandeillusions.net,['252-287-6701']
440,Haunted Littleton Ghost Tours,"328 Mosby AveLittleton, NC 27850",https://hauntedlittleton.com/,['631-220-1231']
441,Hexed Haunted Attraction,"2059 Burkette RdElliston, VA 24087",https://www.deathtofalsehorror.com/,['540-998-3327']
442,Granville Haunt Farm,"4534 Highway 15Oxford, NC 27565",http://www.findahaunt.com/boo/?s=http://www.granvillehauntfarm.com,[]
443,Haunted Forest at Panic Point,"2808 Cedar Creek RoadYoungsville, NC 27596",https://www.raleighhauntedhouse.com/,[]
444,McKee's Cornfield Maze - McKee's Cedar Creek Farm,"5011 Kiger RdRougemont, NC 27572",https://mckeecornfieldmaze.com/,['919-732-8065']
445,St Albans Sanatorium,"6248 University Park DrRadford, VA 24141",http://www.findahaunt.com/boo/?s=http://www.stalbans-virginia.com,['540-260-3111']
446,The Dark Woods Haunted Trail,"228 Shire LaneRadford, VA 24073",http://www.findahaunt.com/boo/?s=http://www.fithianfarms.com,['540-239-7979']
447,Full On Fear,"538 Rockefeller BoulevardCameron, NC 28326",https://www.fullonfearfactory.com/,['931-241-1020']
448,Xtreme Haunt,"7460 Wake Forest HwyDurham, NC 27703",http://www.findahaunt.com/boo/?s=http://www.xtremeparkadventures.com/attractions/xtreme-haunt/,[]
449,Plantation Blood,"4127 Wallie DriveAugusta, GA 30906",http://www.findahaunt.com/boo/?s=http://plantationblood.com/,['706-793-3100']
450,Treedines Haunted Farm,"1506 Durham RdPiedmont, SC 29673",http://www.findahaunt.com/boo/?s=http://treedines.com,['864-947-9238']
451,Nights of Fright,"2100 NC Hwy 33 EastChocowinity, NC 27817",http://www.findahaunt.com/boo/?s=http://www.nightsoffrightnc.com/,['252-495-3398']
452,Strange City of Edgar Allan Poe,"3801 Hillsborough St, Suite 113Raleigh, NC 27605",https://www.strangecitypoe.com/,['919-803-3798']
453,Harvested Farm Nightmares,"3175 Benson HwyGarner, NC 27529",http://www.findahaunt.com/boo/?s=http://www.harvestedfarmnightmares.com/,['919-779-4765']
454,Phillips Haunted Farm,"6701 Good Hope Church Rd.Cary, NC 27519",https://phillipsfarmsofcary.com/haunted-farm/,['919-467-3004']
455,Odom Farming Haunted Corn Maze,"1426 Claridge Nursery RoadGoldsboro, NC 27530",https://www.odomfarmingcompany.com/,['919-738-2905']
456,Fright Nights at The Resort at Glade Springs,"255 Resort DriveDaniels, WV 25832",https://www.frightnightswv.com/,['304-763-0165']
457,Nightmare in the Gorge,"1 Concho RoadMinden, WV 25879",https://aceraft.com/event/nightmare-in-the-gorge/,['304-469-2651']
458,Pecks Mill Haunted Trail,"Big Valley RoadChapmanville, WV 25508",cannot find,[]
459,Stickley Haunted Farm,"531 Timber Mill Private DrBluff City, TN 37618",https://www.thestickleyfarm.com/,['423-360-4809']
460,Hauntophobia at Blackberry Creek,"40 Big Blue Springs RoadRansom, KY 41558",http://www.findahaunt.com/boo/?s=http://www.hauntophobia.com,['502-682-5768']
461,Fear On The Farm WV,"8325 Winfield RdWinfield, WV 25213",https://fearonthefarmwv.com/,[]
462,The Warehouse,"313 Legion StreetWeber City, VA 24290",http://www.findahaunt.com/boo/?s=http://www.hauntedbewarehouse.com,['423-677-7875']
463,Hartman's Haunted Corn Maze & Zombie Paintball Hunting,"7941 Blue Springs ParkwayMosheim, TN 37818",http://www.findahaunt.com/boo/?s=http://www.hartmanshauntedattractions.com,['423-422-4836']
464,Pinhead's Graveyard,"2099 Asheville HighwayCanton, NC 28716",https://www.pinheadsgraveyard.com/,['828-670-8228']
465,Appalachian Ghost Walks,"1216 W. State of Franklin RdJohnson City, TN 37604",https://www.appalachianghostwalks.com/,['423-743-9255']
466,Fender's Farm Fall Fun,"254 Highway 107Jonesborough, TN 37659",http://www.findahaunt.com/boo/?s=http://www.fendersmaze.com/,['423-753-4469']
467,Myers Pumpkin Patch,"3415 Gap Creek RdBulls Gap, TN 37711",http://www.findahaunt.com/boo/?s=http://myerspumpkinpatch.com/,['423-235-4796']
468,Newport Nightmares ! ,"415 Rankin RdNewport, TN 37821",cannot find,[]
469,Eliada's Annual Corn Maze,"2 Compton DriveAsheville, NC 28806",http://www.findahaunt.com/boo/?s=http://www.eliada.org/,['828-254-5356']
470,Frightmare Manor,"7588 West Andrew Johnson HwyTalbott, TN 37877",https://frightmaremanor.com/,['865-471-2878']
471,Kyker Farms Corn Maze,"938 Alder Branch Rd Sevierville, TN 37876",http://www.findahaunt.com/boo/?s=http://www.kykerfarmscornmaze.com/,['865-679-4848']
472,Corn Maze by Oakes Farm,"8240 Corryton RoadCorryton, TN 37721",https://oakesfarm.com/,['865-688-6200']
473,Ghost Walk of Gatlinburg,"520 ParkwayGatlinburg, TN 37738",https://www.ghostwalkofgatlinburg.com/,['865-556-0674']
474,What In Hell Do You Want,"635 Hill crest street Clinton, TN 37716",https://m.facebook.com/events/394426784607959/?event_time_id=394426797941291%3Fti%3Dicl&utm_source=FindAHaunt.com&utm_medium=website&utm_campaign=HauntedHouseMedia,['865-382-4628']
475,HearthScares Ball,"205 East Hill AvenueKnoxville, TN 37915",https://www.jameswhitesfort.org/,['865-525-6514']
476,Haunted Knoxville Ghost Tours,"35 Market SquareKnoxville, TN 37902",http://www.findahaunt.com/boo/?s=http://knoxghost.com/,['865-377-9677']
477,FrightWorks,"1904 West Emory RoadPowell, TN 37849",https://www.frightworks.com/,['865-769-7273']
478,Haunted Majestic,"6100 Kyle LaneHuntington, WV 25702",https://www.hauntedmajestic.com/,['304-416-0445']
479,Cooper Family Farms Haunted Maze,"MiltonMilton, WV 25541",http://www.findahaunt.com/boo/?s=http://www.cooperfamilyfarms.net/,['304-634-6293']
480,Darnell Farms,"2300 Governors Island RdBryson City, NC 28713",https://darnellfarms.com/,['828-488-2376']
481,Maple Lane Farms Corn Maze & Pumpkin Patch,"1126 Maple LnGreenback, TN 37742",http://www.findahaunt.com/boo/?s=http://www.tnmaplelanefarms.com,[]
482,Doctor Dekay's House of Screams,"312 South 3rd StreetIronton, OH 45638",http://www.findahaunt.com/boo/?s=http://doctordekayshouseofscreams.com/,['740-533-9797']
483,Narramore Farms Pumpkin Patch & Corn Maze,"199 Laurel Bluff RoadKingston, TN 37763",https://www.facebook.com/Narramore-Farms-Pumpkin-Patch-Corn-Maze-1515988282039799/,['865-403-9335']
484,Hollerin Haunts Hayride,"2914 bud johnson rdClinton, NC 28328",http://www.findahaunt.com/boo/?s=http://www.hollerinhauntshayride.com,['910-818-2240']
485,Scare U University ,"201 S Pine StPink Hill, NC 28572",http://www.findahaunt.com/boo/?s=http://www.scareuuniversity.com,['910-375-0285']
486,Fayetteville Dogwood Festival,"325 Franklin StFayetteville, NC 28301",https://www.faydogwoodfestival.com/,['910-323-1934']
487,Mike's Farm Pumpkin Patch,"1600 Haw Branch RoadBeulaville, NC 28518",https://mikesfarm.com/,['910-324-3422']
488,WJAA Haunted Woods,"3759 Old St. Rt. 32Williamsburg, OH 45176",https://wjaahaunted.wordpress.com/,[]
489,PV Slaughterhouse ,"592 Sam Ellis Drive NW Rainsville, AL 35986",cannot find,['256-605-4501']
490,Dread Hollow,"321 Browns Ferry RoadChattanooga, TN 37419",https://www.dreadhollow.com/,['423-800-0566']
491,Nightmare at 3008,"1731 Decatur HwyFultondale, AL 35068",https://www.nightmareat3008.com/,['205-913-4506']
492,RingGold Haunted Depot,"155 Depot StreetRinggold, GA 30736",cannot find,['706-935-3061']
493,Gates of Misery,"174 Chatillon RoadRome, GA 30161",http://www.findahaunt.com/boo/?s=http://www.gatesofmisery.com,['706-766-5947']
494,Zombie Apocalypse Hayride,"3285 Mcintosh RdOxford, AL 36203",https://oxfordzombies.com/,[]
495,Haunted Corn Maze at Copper Creek,"1514 Reeves Station Rd SWCalhoun, GA 30701",https://coppercreekfarm.com/,['706-280-5592']
496,Dead Land Haunted Woods,"7040 Murfreesboro RoadLebanon, TN 37090",https://www.deadlandwoods.com/,['615-519-3116']
497,Death Ridge Haunted Attraction,"346 Campbellsville PikeEthridge, TN 38456",https://www.deathridgehaunt.com/,['931-829-2660']
498,Creepy Hollow Haunted Woods,"2133 Joe Brown RoadSpring Hill, TN 37174",https://www.creepyhollowwoods.com/,['931-486-3063']
499,Chattanooga Ghost Tours,"57 E Fifth StChattanooga, TN 37402",https://chattanoogaghosttours.com/,['423-800-5998']
500,Sloss Fright Furnace,"20 32nd Street NorthBirmingham, AL 35222",https://www.frightfurnace.com/,['205-500-9614']
501,Acres of Darkness,"900 North Sanctuary RoadChattanooga, TN 37421",http://www.findahaunt.com/boo/?s=http://www.acresofdarkness.com/,['423-892-3690']
502,The Haunted Barn,"5017 McDonald RdMcDonald, TN 37353",https://www.thehauntedbarnchattanooga.com/,['423-396-9790']
503,Fall Kick-Off Festival at Payne Farms,"204 Salem RoadCalhoun, GA 30701",http://www.findahaunt.com/boo/?s=http://www.paynefarmandproduce.com/,['770-878-2005']
504,The Haunted Chicken House ,"7522 Hwy 431 Heflin, AL 36264",https://www.thehauntedchickenhouse.com/,['256-225-7230']
505,Scream-A-Geddon Horror Park,"27839 Saint Joe RoadDade City, FL 33525",https://www.screamageddon.com/,[]
506,Little Oasis Haunted House ,"295 S Ronald Reagan BlvdLongwood, FL 32750",http://www.findahaunt.com/boo/?s=http://www.oasiscubancafe.com,['407-260-6672']
507,Dark Horizon Orlando,"14500 Continental Gateway DrOrlando, FL 32821",https://www.darkhorizonorlando.com/,[]
508,Busch Gardens Tampa Bay Howl-O-Scream,"3000 East Busch BlvdTampa, FL 33674",http://www.findahaunt.com/boo/?s=http://seaworldparks.com/en/howloscream-tampa,['888-800-5447']
509,Trail of Doom,"171 Canal Blvd. Ponte Vedra, FL 32082Ponte Vedra, FL 32082",https://www.palmvalleytrailofdoom.com/,['904-619-6071']
510,Frightmaze Productions Haunted Attractions,"777 E. Merritt Island CswyMerritt Island, FL 32952",https://www.frightmazeproductions.com/,[]
511,13th Floor Haunted House Jacksonville,"9230 Arlington ExpresswayJacksonville, FL 32225",https://www.13thfloorjacksonville.com/,['904-479-9629']
512,Fall Fun Nights At Uncle Donald's Farm,"2713 Griffin AvenueLady Lake, FL 32159",https://www.uncledonaldsfarm.com/,[]
513,Nightmare on 5th st,"108 S 5th st Leesburg, FL 34748",cannot find,[]
514,GHOST HUNT EXPERIENCE At The Lake Square Mall,"10401 US HWY 441, Leesburg, Florida 34788Leesburg, FL 34788",http://www.findahaunt.com/boo/?s=http://www.lakesquaremall.com,['352-787-1200']
515,Apopka Halloween House,"541 Mount Argyll Ct.Apopka, FL 32712",https://www.facebook.com/ApopkaHalloweenHouse,['407-790-1651']
516,Panic on Plant Street,"230 w Bay streetWinter Garden, FL 34787",cannot find,['407-670-4208']
517,City of Ocoee Haunted House,"951 Ocoee-Apopka RdOcoee, FL 34761",https://www.ocoee.org/185/Special-Events,['407-905-3180']
518,Asylum Haunted House presented by Ocoee Lions Club,"108 Taylor StreetOcoee, FL 34761",https://www.ocoeelionsclub.com/the-asylum,['321-247-7441']
519,"H.H. Holmes Word Fair 1893, A Trip to Nowhere","222 E University AveOrange City, FL 32763",http://www.findahaunt.com/boo/?s=http://sorosiscluboforangecity.com/haunted-house.html,['386-775-6814']
520,Face the Fear,"300 N Ronald Reagan BlvdLongwood, FL 32750",http://www.findahaunt.com/boo/?s=http://www.facethefearhouse.com,['407-324-0203']
521,Halloween Horror Nights at Universal,"6000 Universal BlvdOrlando, FL 32801",https://www.halloweenhorrornights.com/,[]
522,Yard of Terror,"527 Dew Drop CoveCasselberry, FL 32707",https://www.facebook.com/yardofterrorhaunt/,['352-835-2458']
523,ZombieFarm Paintball Hayride,"13444 Moore RdLakeland, FL 33809",https://smithranchlakeland.com/zombie-farm,['863-859-6472']
524,Haunted Marsh,"2217 Newt StOrlando, FL 32837",cannot find,['407-414-6971']
525,Newberry's Cornfield Maze,"20015 West Newberry RoadNewberry, FL 32669",http://www.findahaunt.com/boo/?s=http://newberrycornfieldmaze.com/,['352-354-5118']
526,Keystone Heights Jaycees Haunted Trail,"7100 Airport RoadStarke, FL 32091",https://www.facebook.com/KH-Jaycees-Haunted-Trail-869196669801645/,['352-572-3892']
527,Rogers Farm Fall Festival,"3831 NW 156th Ave.Gainesville, FL 32609",https://rogersfarmfl.com/,['386-462-2406']
528,Avalon Park Spooktacular,"3680 Avalon Park East Blvd.Orlando, FL 32828",https://downtownavalonpark.com/,['407-658-6565']
529,Murder House Tampa,"15010 Otto RdTampa, FL 33624",http://www.findahaunt.com/boo/?s=http://www.murderhousetampa.com/,[]
530,Ghost Tours & Investigations,"1221 10th StreetSaint Cloud, FL 34769",http://www.findahaunt.com/boo/?s=http://www.FLGhostTours.com,['407-281-1005']
531,Ominous Descent Haunted Attraction,"1910 Hwy 60Bartow, FL 33830",http://www.findahaunt.com/boo/?s=http://ominousdescent.com/,['863-669-7547']
532,Halls of Horrors Nightmares,"514 N Lincoln AveClearwater, FL 33755",http://www.findahaunt.com/boo/?s=http://www.wehauntu.com,[]
533,Ghost Tour of St. Petersburg,"300 Beach Dr. NESaint Petersburg, FL 33701",https://www.ghosttour.com/stpetersburg.html,['727-894-4678']
534,Fishstrong Fright Nights Haunted Hayride and Walking Trail,"3100 Freedom Way Hubert, NC 28539",http://www.findahaunt.com/boo/?s=http://www.fishstrongfrightnights.com/,['910-326-4071']
535,Haunted Cotton Exchange Ghost Tour,"Front and Grace St DowntownWilmington, NC 28401",https://hauntedcottonexchange.blogspot.com/,['910-409-4300']
536,New Bern Ghostwalk,"511 Broad StreetNew Bern, NC 28560",https://newbernhistorical.org/ghostwalk/,['252-638-8558']
537,Ghosts of New Bern Tour,"235 Craven StNew Bern, NC 28562",http://www.findahaunt.com/boo/?s=http://www.ghostsofnewbern.com/,['252-571-4766']
538,Nightmare Factory Haunted Attraction,"29 Park LaneHavelock, NC 28532",https://www.nightmarefactorync.com/,[]
539,Grissettown Haunted Trail,"758 Longwood Rd.Ocean Isle Beach, NC 28469",https://www.grissettownfire.com/hauntedtrail.htm,[]
540,Port City Pirates & Ghosts Tour,"108 Middle LaneBeaufort, NC 28516",https://pctourco.com/beaufort-ghost-walk/,[]
541,Village Craftsmen Ghost and Historic Walking Tour,"170 Howard StreetOcracoke, NC 27960",https://www.villagecraftsmen.com/ghostwalk/,['252-928-5541']
542,Deal Farms Corn Maze & Pumpkin Patch,"4402 Murphy Rd.Franklin, NC 28734",http://www.findahaunt.com/boo/?s=http://www.dealfarms.com/,['828-524-5151']
543,Haunted House in the Farm @ Carolina Forest,"3356 Picket Fence LaneMyrtle Beach, SC 29579",https://www.facebook.com/HauntedHouseinTheFarm/,[]
544,"Outbreak, Dread the Undead","1808 21st Ave. NMyrtle Beach, SC 29577",https://www.hollywoodwaxmyrtlebeach.com/,['843-444-0091']
545,Nightmare Haunted House,"1001 North Ocean BoulevardMyrtle Beach, SC 29577",https://www.beachscream.com/,['843-626-0022']
546,Guthrie Pumpkin Farm,"490 County Road 67Riceville, TN 37370",http://www.findahaunt.com/boo/?s=http://tnpumpkinfarm.com/,['423-650-2939']
547,Hell's Gates,"329 Harmony Church RoadDawsonville, GA 30534",https://www.hellsgates.com/,['888-295-0099']
548,The Dark Rows Haunted Corn Maze,"4520 Highway 53 EDawsonville, GA 30534",http://www.findahaunt.com/boo/?s=http://uncleshucks.com/uncle_shucks_haunted_maze.php,[]
549,Fearopolis,"40155 Highway 441 SCommerce, GA 30529",https://www.funopolisfamilyfuncenter.com/things-to-do/fearopolis/,['706-335-3866']
550,Yahoo Farm Cosmic Corn Maze & Haunted Hayride,"4729 Waleska Highway 108Jasper, GA 30143",http://www.findahaunt.com/boo/?s=http://yahoofarm.com/,['770-735-3638']
551,Zombie Farms,"568 Smithonia RoadWinterville, GA 30683",http://www.findahaunt.com/boo/?s=http://www.zombiefarms.com/,[]
552,"Haunted Trails @ Old Car City, USA","3098 Hwy. 411 N. E.White, GA 30184",http://www.findahaunt.com/boo/?s=http://hauntedtrailsoldcarcity.com/,['770-655-2945']
553,Halloween Hikes,"9135 Willeo RoadRoswell, GA 30075",http://www.findahaunt.com/boo/?s=http://www.chattnaturecenter.org/special-events/festivals/halloween-hikes/,['770-992-2055 ext. 236']
554,Folklore Haunted House,"5389 N. Main StAcworth, GA 30132",https://folklorehauntedhouse.com/,[]
555, The Haunted PlayHouse,"2502 LIttle John TrailMarietta, GA 30067",https://www.facebook.com/GAHauntedplayhouse/,[]
